ATC code	Level	Label	Comment	Counts [COVID-19 drugs]	Color
J05AR10	5	Lopinavir and ritonavir	added via drugbank	2	#FF0000
J05AR26	5	Darunavir and ritonavir	added via drugbank	2	#FF0000
J06BD03	5	Tixagevimab and cilgavimab	added via drugbank	2	#FF0000
B02BX09	5	fostamatinib		1	#FF7F7F
H02AB04	5	methylprednisolone		1	#FF7F7F
L04AC07	5	tocilizumab		1	#FF7F7F
L04AA37	5	baricitinib		1	#FF7F7F
P01BA01	5	chloroquine		1	#FF7F7F
M01AE51	5	ibuprofen, combinations		1	#FF7F7F
L04AA27	5	fingolimod		1	#FF7F7F
M01AE01	5	ibuprofen		1	#FF7F7F
D10AA02	5	methylprednisolone		1	#FF7F7F
H02AB02	5	dexamethasone		1	#FF7F7F
J05AX27	5	favipiravir		1	#FF7F7F
H02BX01	5	methylprednisolone, combinations		1	#FF7F7F
M02AA13	5	ibuprofen		1	#FF7F7F
S01CB01	5	dexamethasone		1	#FF7F7F
C01EB16	5	ibuprofen		1	#FF7F7F
D07AA01	5	methylprednisolone		1	#FF7F7F
M04AC01	5	colchicine		1	#FF7F7F
R01AD53	5	dexamethasone, combinations		1	#FF7F7F
G02CC01	5	ibuprofen		1	#FF7F7F
C04AX28	5	ifenprodil		1	#FF7F7F
S01BA01	5	dexamethasone		1	#FF7F7F
S03BA01	5	dexamethasone		1	#FF7F7F
D07AB19	5	dexamethasone		1	#FF7F7F
C05AA09	5	dexamethasone		1	#FF7F7F
J05AE03	5	ritonavir		1	#FF7F7F
J05AX13	5	umifenovir		1	#FF7F7F
J01FA10	5	azithromycin		1	#FF7F7F
R02AX02	5	ibuprofen		1	#FF7F7F
D10AA03	5	dexamethasone		1	#FF7F7F
J05AP10	5	elbasvir		1	#FF7F7F
S02BA06	5	dexamethasone		1	#FF7F7F
A01AC02	5	dexamethasone		1	#FF7F7F
R01AD03	5	dexamethasone		1	#FF7F7F
S01AA26	5	azithromycin		1	#FF7F7F
D07XB05	5	dexamethasone		1	#FF7F7F
J05AE10	5	darunavir		1	#FF7F7F
J05AP53	5	Ombitasvir, paritaprevir and ritonavir	added via drugbank	1	#FF7F7F
J05AR23	5	Atazanavir and ritonavir	added via drugbank	1	#FF7F7F
J05AP52	5	Dasabuvir, ombitasvir, paritaprevir and ritonavir	added via drugbank	1	#FF7F7F
P01BB52	5	Chloroquine and proguanil	added via drugbank	1	#FF7F7F
J05AR14	5	Darunavir and cobicistat	added via drugbank	1	#FF7F7F
G01AE10	5	Combinations of sulfonamides	added via drugbank	1	#FF7F7F
J05AR22	5	Emtricitabine, tenofovir alafenamide, darunavir and cobicistat	added via drugbank	1	#FF7F7F
D07CA02	5	Methylprednisolone and antibiotics	added via drugbank	1	#FF7F7F
S01CA08	5	Methylprednisolone and antiinfectives	added via drugbank	1	#FF7F7F
L01FG01	5	Bevacizumab	added via drugbank	1	#FF7F7F
S01LA08	5	Bevacizumab	added via drugbank	1	#FF7F7F
J01RA07	5	Azithromycin, fluconazole and secnidazole	added via drugbank	1	#FF7F7F
J05AP54	5	Elbasvir and grazoprevir	added via drugbank	1	#FF7F7F
N02AJ08	5	Codeine and ibuprofen	added via drugbank	1	#FF7F7F
N02AJ19	5	Oxycodone and ibuprofen	added via drugbank	1	#FF7F7F
S02CA06	5	Dexamethasone and antiinfectives	added via drugbank	1	#FF7F7F
S03CA01	5	Dexamethasone and antiinfectives	added via drugbank	1	#FF7F7F
S01CA01	5	Dexamethasone and antiinfectives	added via drugbank	1	#FF7F7F
D07CB04	5	Dexamethasone and antibiotics	added via drugbank	1	#FF7F7F
N05CD01	5	flurazepam		0	#FFFFFF
N02AD01	5	pentazocine		0	#FFFFFF
M03CA01	5	dantrolene		0	#FFFFFF
D11AC08	5	sulfur compounds		0	#FFFFFF
N01BC01	5	cocaine		0	#FFFFFF
A10BH05	5	linagliptin		0	#FFFFFF
M03AC04	5	atracurium		0	#FFFFFF
N07AX02	5	choline alfoscerate		0	#FFFFFF
J01DC08	5	loracarbef		0	#FFFFFF
N05AD05	5	pipamperone		0	#FFFFFF
C02DB04	5	cadralazine		0	#FFFFFF
N05CA16	5	hexobarbital		0	#FFFFFF
V03AB17	5	methylthioninium chloride		0	#FFFFFF
S01GX04	5	nedocromil		0	#FFFFFF
R03BC03	5	nedocromil		0	#FFFFFF
C07AA17	5	bopindolol		0	#FFFFFF
D10AX02	5	resorcinol		0	#FFFFFF
M02AA21	5	tolmetin		0	#FFFFFF
J05AA01	5	metisazone		0	#FFFFFF
D01AC02	5	miconazole		0	#FFFFFF
V04CG05	5	methylthioninium chloride		0	#FFFFFF
A02AA04	5	magnesium hydroxide		0	#FFFFFF
A03AD01	5	papaverine		0	#FFFFFF
L01XX24	5	pegaspargase		0	#FFFFFF
C01BA03	5	disopyramide		0	#FFFFFF
N06AF04	5	tranylcypromine		0	#FFFFFF
L04AX07	5	dimethyl fumarate		0	#FFFFFF
D07AC01	5	betamethasone		0	#FFFFFF
L01XK03	5	rucaparib		0	#FFFFFF
D08AX08	5	ethanol		0	#FFFFFF
B01AC17	5	tirofiban		0	#FFFFFF
G01AA02	5	natamycin		0	#FFFFFF
H03BX01	5	diiodotyrosine		0	#FFFFFF
J05AD01	5	foscarnet		0	#FFFFFF
R06AE05	5	meclozine		0	#FFFFFF
C08CA14	5	cilnidipine		0	#FFFFFF
J05AX05	5	inosine pranobex		0	#FFFFFF
S01BC09	5	pranoprofen		0	#FFFFFF
C10AX16	5	inclisiran		0	#FFFFFF
D07AB06	5	fluorometholone		0	#FFFFFF
M09AX03	5	ataluren		0	#FFFFFF
S01HA06	5	cinchocaine		0	#FFFFFF
M03BX01	5	baclofen		0	#FFFFFF
R01AB03	5	tetryzoline		0	#FFFFFF
C07AA02	5	oxprenolol		0	#FFFFFF
N02AB01	5	ketobemidone		0	#FFFFFF
A10BK03	5	empagliflozin		0	#FFFFFF
R06AE04	5	chlorcyclizine		0	#FFFFFF
R05DB02	5	benproperine		0	#FFFFFF
R06AE01	5	buclizine		0	#FFFFFF
R03BX01	5	fenspiride		0	#FFFFFF
