MeSH ID	Tree ID	Name	Description	Comment	Counts [Template Drug]	Color
D000006	C23.888.592.612.054.200|C23.888.821.030.249	Abdomen, Acute	A clinical syndrome with acute abdominal pain that is severe, localized, and rapid in onset. Acute abdomen may be caused by a variety of disorders, injuries, or diseases.	""	0	#FFFFFF
D000007	C26.017	Abdominal Injuries	General or unspecified injuries involving organs in the abdominal cavity.	""	0	#FFFFFF
D000008	C04.588.033	Abdominal Neoplasms	New abnormal growth of tissue in the ABDOMEN.	""	0	#FFFFFF
D000012	C16.320.565.398.500.440.500|C18.452.584.500.875.440.500|C18.452.584.563.500.440.500|C18.452.648.398.500.440.500	Abetalipoproteinemia	An autosomal recessive disorder of lipid metabolism. It is caused by mutation of the microsomal triglyceride transfer protein that catalyzes the transport of lipids (TRIGLYCERIDES; CHOLESTEROL ESTERS; PHOSPHOLIPIDS) and is required in the secretion of BETA-LIPOPROTEINS (low density lipoproteins or LDL). Features include defective intestinal lipid absorption, very low serum cholesterol level, and near absent LDL.	""	0	#FFFFFF
D000013	C16.131	Congenital Abnormalities	Malformations of organs or body parts during development in utero.	""	0	#FFFFFF
D000014	C16.131.042	Abnormalities, Drug-Induced	Congenital abnormalities caused by medicinal substances or drugs of abuse given to or taken by the mother, or to which she is inadvertently exposed during the manufacture of such substances. The concept excludes abnormalities resulting from exposure to non-medicinal chemicals in the environment.	""	0	#FFFFFF
D000015	C16.131.077	Abnormalities, Multiple	Congenital abnormalities that affect more than one organ or body structure.	""	0	#FFFFFF
D000016	C16.131.080|C26.733.031	Abnormalities, Radiation-Induced	Congenital changes in the morphology of organs produced by exposure to ionizing or non-ionizing radiation.	""	0	#FFFFFF
D000022	C12.050.703.039	Abortion, Spontaneous	Expulsion of the product of FERTILIZATION before completing the term of GESTATION and without deliberate interference.	""	0	#FFFFFF
D000026	C12.050.703.039.089	Abortion, Habitual	Three or more consecutive spontaneous abortions.	""	0	#FFFFFF
D000027	C12.050.703.039.093	Abortion, Incomplete	Premature loss of PREGNANCY in which not all the products of CONCEPTION have been expelled.	""	0	#FFFFFF
D000030	C12.050.703.039.173	Abortion, Missed	The retention in the UTERUS of a dead FETUS two months or more after its DEATH.	""	0	#FFFFFF
D000031	C01.674.173|C12.050.703.039.256|C12.050.703.700.173	Abortion, Septic	Any type of abortion, induced or spontaneous, that is associated with infection of the UTERUS and its appendages. It is characterized by FEVER, uterine tenderness, and foul discharge.	""	0	#FFFFFF
D000033	C12.050.703.090	Abortion, Threatened	UTERINE BLEEDING from a GESTATION of less than 20 weeks without any CERVICAL DILATATION. It is characterized by vaginal bleeding, lower back discomfort, or midline pelvic cramping and a risk factor for MISCARRIAGE.	""	0	#FFFFFF
D000034	C12.050.703.039.422|C22.021	Abortion, Veterinary	Premature expulsion of the FETUS in animals.	""	0	#FFFFFF
D000037	C12.050.703.420.078|C12.050.703.590.132	Abruptio Placentae	Premature separation of the normally implanted PLACENTA from the UTERUS. Signs of varying degree of severity include UTERINE BLEEDING, uterine MUSCLE HYPERTONIA, and FETAL DISTRESS or FETAL DEATH.	""	0	#FFFFFF
D000038	C01.830.025|C23.550.470.756.100	Abscess	Accumulation of purulent material in tissues, organs, or circumscribed spaces, usually associated with signs of infection.	""	0	#FFFFFF
D000039	C01.748.561.750.500|C01.830.025.675|C07.550.781.750.500|C08.730.561.750.500|C09.775.649.750.500	Peritonsillar Abscess	An accumulation of purulent material in the area between the PALATINE TONSIL and its capsule.	""	0	#FFFFFF
D000051	C17.800.865.070|C23.550.035	Acantholysis	Separation of the prickle cells of the stratum spinosum of the epidermis, resulting in atrophy of the prickle cell layer. It is seen in diseases such as pemphigus vulgaris (see PEMPHIGUS) and DARIER DISEASE.	""	0	#FFFFFF
D000052	C17.800.621.430.530.100	Acanthosis Nigricans	A circumscribed melanosis consisting of a brown-pigmented, velvety verrucosity or fine papillomatosis appearing in the axillae and other body folds. It occurs in association with endocrine disorders, underlying malignancy, administration of certain drugs, or as in inherited disorder.	""	0	#FFFFFF
D000067011	C18.654.521.719	Severe Acute Malnutrition	Acute form of MALNUTRITION which usually affects children, characterized by a very low weight for height (below -3z scores of the median World Health Organization standards), visible severe wasting, or occurrence of nutritional EDEMA.  It can be a direct or indirect cause of fatality in children suffering from DIARRHEA and PNEUMONIA. Do not confuse with starvation, a condition in which the body is not getting enough food, usually for extended periods of time.	""	0	#FFFFFF
D000067208	C20.543.480.370.763	Shellfish Hypersensitivity	Allergic reaction to SHELLFISH or shellfish products.	""	0	#FFFFFF
D000067251	C23.550.291.937.500	Symptom Flare Up	A transient exacerbation of symptoms of an existing disease or condition.	""	0	#FFFFFF
D000067329	C18.654.726.750.500.650|C23.888.144.699.500.250	Obesity, Metabolically Benign	A sub-PHENOTYPE of obese individuals who have a risk for CARDIOVASCULAR DISEASES between that of healthy individuals with normal weight and unhealthy individuals with obesity.	""	0	#FFFFFF
D000067390	C26.212	Cold Injury	A physical injury caused by exposure of the body to extremely low ambient temperatures that may lead to loss of body parts, or in extreme cases, death. Examples of cold injury are FROSTBITE and CHILBLAINS.	""	0	#FFFFFF
D000067398	C26.946	War-Related Injuries	WOUNDS and INJURIES and PSYCHOLOGICAL TRAUMA sustained during WAR.	""	0	#FFFFFF
D000067562	C23.550.291.883	Late Onset Disorders	Pathological conditions (Disorder, SYNDROME, or DISEASE) whose SIGNS AND SYMPTOMS manifest late in the life of an individual.	""	0	#FFFFFF
D000068376	C23.888.369.500.500	Compassion Fatigue	Emotional distress caused by repeated or prolonged expression of compassion or empathy. It may occur in individuals working in care giving professions.	""	0	#FFFFFF
D000069076	C26.404.280|C26.640.500	Fractures, Multiple	Injuries involving the breaking of either several bones or one bone in two or more places.	""	0	#FFFFFF
