MeSH ID	Tree ID	Name	Description	Comment	Counts [Template Drug]	Color
D014929	C10.045.001.021.003|C11.026.002.001.003|C16.092.011.003|C19.008.001.002|C18.021.001.001.001|C09.002.003.001.002|C11.010.015.003|C12.010.015.001.007.003|C16.068.002|C12.017.001.007.003|C16.129.023.003|C19.003.002.001|C10.061.005.005.002|C10.021.011.001.001.003|C11.032.004.002|C12.004.005.015.001.007.003|C10.061.001.001.002	Wolfram Syndrome	A hereditary condition characterized by multiple symptoms including those of DIABETES INSIPIDUS; DIABETES MELLITUS; OPTIC ATROPHY; and DEAFNESS. This syndrome is also known as DIDMOAD (first letter of each word) and is usually associated with VASOPRESSIN deficiency. It is caused by mutations in gene WFS1 encoding wolframin, a 100-kDa transmembrane protein.		0	#FFFFFF
D007647	C10.014.001.008.003|C23.099.002|C18.010.003|C16.090.001|C20.009.001|C15.001.006.001	Kernicterus	A term used pathologically to describe BILIRUBIN staining of the BASAL GANGLIA; BRAIN STEM; and CEREBELLUM and clinically to describe a syndrome associated with HYPERBILIRUBINEMIA. Clinical features include athetosis, MUSCLE SPASTICITY or hypotonia, impaired vertical gaze, and DEAFNESS. Nonconjugated bilirubin enters the brain and acts as a neurotoxin, often in association with conditions that impair the BLOOD-BRAIN BARRIER (e.g., SEPSIS). This condition occurs primarily in neonates (INFANT, NEWBORN), but may rarely occur in adults. (Menkes, Textbook of Child Neurology, 5th ed, p613)		0	#FFFFFF
D001177	C05.018.005	Arthropathy, Neurogenic	Chronic progressive degeneration of the stress-bearing portion of a joint, with bizarre hypertrophic changes at the periphery. It is probably a complication of a variety of neurologic disorders, particularly TABES DORSALIS, involving loss of sensation, which leads to relaxation of supporting structures and chronic instability of the joint. (Dorland, 27th ed)		0	#FFFFFF
D013706	C07.005.006.001.001.001|C05.025.004.001.001|C07.009.001|C05.017.006.001.001.001|C05.018.021.001|C05.025.026.001	Temporomandibular Joint Dysfunction Syndrome	A symptom complex consisting of pain, muscle tenderness, clicking in the joint, and limitation or alteration of mandibular movement. The symptoms are subjective and manifested primarily in the masticatory muscles rather than the temporomandibular joint itself. Etiologic factors are uncertain but include occlusal dysharmony and psychophysiologic factors.		0	#FFFFFF
D017681	C15.001.010.001.005	Hypereosinophilic Syndrome	A heterogeneous group of disorders with the common feature of prolonged eosinophilia of unknown cause and associated organ system dysfunction, including the heart, central nervous system, kidneys, lungs, gastrointestinal tract, and skin. There is a massive increase in the number of EOSINOPHILS in the blood, mimicking leukemia, and extensive eosinophilic infiltration of the various organs.		0	#FFFFFF
D009845	C12.006.014|C12.006.009.010|C12.010.005.010	Oligospermia	A condition of suboptimal concentration of SPERMATOZOA in the ejaculated SEMEN to ensure successful FERTILIZATION of an OVUM. In humans, oligospermia is defined as a sperm count below 20 million per milliliter semen.		0	#FFFFFF
D000082862	C14.003.016.001	Aortic Valve Disease	Diseases involving the AORTIC VALVE functionality. Aortic valve disease often results in a backward and/or regurgitated blood flow into the LEFT VENTRICLE or a decreased blood flow from the heart. It includes congenital (e.g., bicuspid aortic valve), syndromic, and acquired (e.g., age-related, infection-associated) conditions.		0	#FFFFFF
D015838	C05.018.007	Chondromatosis, Synovial	Rare, benign, chronic, progressive metaplasia in which cartilage is formed in the synovial membranes of joints, tendon sheaths, or bursae. Some of the metaplastic foci can become detached producing loose bodies. When the loose bodies undergo secondary calcification, the condition is called synovial osteochondromatosis.		0	#FFFFFF
D010236	C04.035.006.004.009.001|C04.039.003.004.009.001	Paraganglioma, Extra-Adrenal	A relatively rare, usually benign neoplasm originating in the chemoreceptor tissue of the CAROTID BODY; GLOMUS JUGULARE; GLOMUS TYMPANICUM; AORTIC BODIES; and the female genital tract. It consists histologically of rounded or ovoid hyperchromatic cells that tend to be grouped in an alveolus-like pattern within a scant to moderate amount of fibrous stroma and a few large thin-walled vascular channels. (From Stedman, 27th ed)		0	#FFFFFF
D018301	C04.036.008	Neoplasms, Mesothelial	Neoplasms composed of tissue of the mesothelium, the layer of flat cells, derived from the mesoderm, which lines the body cavity of the embryo. In the adult it forms the simple squamous epithelium which covers all true serous membranes (peritoneum, pericardium, pleura). The concept does not refer to neoplasms located in these organs. (From Dorland, 27th ed)		0	#FFFFFF
