MeSH ID	Tree ID	Name	Description	Comment	Counts [Pubmed counts]	Color
D000006	C23.888.592.612.054.200	Abdomen, Acute	A clinical syndrome with acute abdominal pain that is severe, localized, and rapid in onset. Acute abdomen may be caused by a variety of disorders, injuries, or diseases.		7485	
D000006	C23.888.821.030.249	Abdomen, Acute	A clinical syndrome with acute abdominal pain that is severe, localized, and rapid in onset. Acute abdomen may be caused by a variety of disorders, injuries, or diseases.		7485	
D000007	C26.017	Abdominal Injuries	General or unspecified injuries involving organs in the abdominal cavity.		12448	
D000008	C04.588.033	Abdominal Neoplasms	New abnormal growth of tissue in the ABDOMEN.		7822	
D000012	C16.320.565.398.500.440.500	Abetalipoproteinemia	An autosomal recessive disorder of lipid metabolism. It is caused by mutation of the microsomal triglyceride transfer protein that catalyzes the transport of lipids (TRIGLYCERIDES; CHOLESTEROL ESTERS; PHOSPHOLIPIDS) and is required in the secretion of BETA-LIPOPROTEINS (low density lipoproteins or LDL). Features include defective intestinal lipid absorption, very low serum cholesterol level, and near absent LDL.		470	
D000012	C18.452.584.500.875.440.500	Abetalipoproteinemia	An autosomal recessive disorder of lipid metabolism. It is caused by mutation of the microsomal triglyceride transfer protein that catalyzes the transport of lipids (TRIGLYCERIDES; CHOLESTEROL ESTERS; PHOSPHOLIPIDS) and is required in the secretion of BETA-LIPOPROTEINS (low density lipoproteins or LDL). Features include defective intestinal lipid absorption, very low serum cholesterol level, and near absent LDL.		470	
D000012	C18.452.584.563.500.440.500	Abetalipoproteinemia	An autosomal recessive disorder of lipid metabolism. It is caused by mutation of the microsomal triglyceride transfer protein that catalyzes the transport of lipids (TRIGLYCERIDES; CHOLESTEROL ESTERS; PHOSPHOLIPIDS) and is required in the secretion of BETA-LIPOPROTEINS (low density lipoproteins or LDL). Features include defective intestinal lipid absorption, very low serum cholesterol level, and near absent LDL.		470	
D000012	C18.452.648.398.500.440.500	Abetalipoproteinemia	An autosomal recessive disorder of lipid metabolism. It is caused by mutation of the microsomal triglyceride transfer protein that catalyzes the transport of lipids (TRIGLYCERIDES; CHOLESTEROL ESTERS; PHOSPHOLIPIDS) and is required in the secretion of BETA-LIPOPROTEINS (low density lipoproteins or LDL). Features include defective intestinal lipid absorption, very low serum cholesterol level, and near absent LDL.		470	
D000013	C16.131	Congenital Abnormalities	Malformations of organs or body parts during development in utero.		23895	
D000014	C16.131.042	Abnormalities, Drug-Induced	Congenital abnormalities caused by medicinal substances or drugs of abuse given to or taken by the mother, or to which she is inadvertently exposed during the manufacture of such substances. The concept excludes abnormalities resulting from exposure to non-medicinal chemicals in the environment.		9723	
